,hue,color_intensity,malic_acid,od280/od315_of_diluted_wines,alcalinity_of_ash,nonflavanoid_phenols,proanthocyanins,flavanoids,magnesium,alcohol,acidity,total_phenols,type,ash,proline,label
0,1.05,4.38,1.78,3.4,11.2,0.26,1.28,2.76,100.0,13.2,11.686971676183935,2.65,sweet,2.14,1050.0,red
1,1.08,5.2,1.64,2.85,14.0,0.29,1.98,2.98,97.0,14.83,10.601270529597393,2.8,sweet,2.17,1045.0,red
2,1.01,7.22,1.35,3.55,16.0,0.22,1.85,3.15,98.0,13.86,10.666638504355804,2.98,dry,2.27,1045.0,red
3,1.09,5.65,1.63,3.71,16.0,0.24,2.1,3.17,126.0,14.06,10.371422632603787,3.0,sweet,2.28,780.0,red
4,1.11,3.8,1.86,4.0,16.6,0.27,1.69,2.88,101.0,13.71,11.872297754508047,2.61,dry,2.36,1035.0,red
5,1.12,3.52,1.81,3.82,20.0,0.28,1.66,2.61,96.0,13.5,12.547478809637633,2.53,sweet,2.61,845.0,red
6,1.13,3.58,2.05,3.2,25.0,0.47,1.92,2.68,124.0,13.05,10.041980040698174,2.63,sweet,3.22,830.0,red
7,0.92,4.8,1.77,3.22,16.1,0.34,1.45,2.94,93.0,13.39,12.05592452686268,2.85,dry,2.62,1195.0,red
8,1.19,5.7,1.5,2.71,22.5,0.29,2.38,3.25,101.0,13.73,11.487251120201147,3.0,sweet,2.7,1285.0,red
9,0.91,4.28,3.84,3.0,18.8,0.27,1.48,2.68,90.0,13.41,11.588775129180672,2.45,sweet,2.12,1035.0,red
10,0.87,5.24,4.04,3.33,18.9,0.3,1.25,2.65,111.0,14.21,14.105271152575527,2.85,dry,2.44,1080.0,red
11,1.07,6.0,1.97,2.84,16.8,0.31,1.66,3.23,102.0,13.29,12.0653762035628,3.0,dry,2.68,1270.0,red
12,1.25,3.27,1.1,1.67,16.0,0.63,0.41,1.09,101.0,12.33,13.247579892890487,2.05,dry,2.28,680.0,sparkling
13,0.98,5.75,1.36,1.59,16.8,0.53,0.62,1.41,100.0,12.64,10.363825177666236,2.02,sweet,2.02,450.0,sparkling
14,1.45,2.95,1.45,2.23,19.0,0.45,1.03,1.75,104.0,12.17,12.291280618805521,1.89,dry,2.53,355.0,sparkling
15,1.12,5.3,1.01,3.18,15.0,0.26,2.28,3.18,78.0,13.11,12.740438749945557,2.98,sweet,1.7,502.0,sparkling
16,0.906,3.05,1.61,1.82,20.4,0.37,1.46,1.02,103.0,12.29,14.853343128392432,1.1,dry,2.21,870.0,sparkling
17,1.36,3.38,1.51,3.16,25.0,0.21,1.87,2.86,86.0,13.86,14.642350049881053,2.95,dry,2.67,410.0,sparkling
18,0.84,4.8,3.86,2.01,22.5,0.61,1.62,1.59,85.0,13.05,11.394854322256647,1.65,dry,2.32,515.0,sparkling
19,1.33,2.45,1.61,2.26,22.8,0.43,1.56,1.69,90.0,12.16,14.688970249685221,1.78,sweet,2.31,495.0,sparkling
20,1.36,2.6,1.67,3.21,26.0,0.4,1.34,1.61,88.0,11.65,14.060697701898059,1.92,sweet,2.62,562.0,sparkling
21,0.96,3.05,1.53,2.06,20.7,0.58,1.62,1.46,80.0,12.69,13.626984047992899,1.38,dry,2.26,495.0,sparkling
22,0.95,2.5,2.12,2.26,21.5,0.14,1.56,0.99,134.0,11.81,11.11086549279574,1.6,sweet,2.74,625.0,sparkling
23,1.04,4.5,1.07,2.77,18.5,0.24,1.95,3.75,88.0,12.37,13.285041566290477,3.52,sweet,2.1,660.0,sparkling
24,0.9,2.0,2.43,2.78,21.0,0.26,1.22,2.27,88.0,12.52,13.152871515414144,2.55,dry,2.17,325.0,sparkling
25,0.93,1.28,3.43,3.05,19.0,0.37,1.87,1.64,87.0,12.0,12.353371180764407,2.0,sweet,2.0,564.0,sparkling
26,0.93,6.0,2.05,3.69,28.5,0.47,1.87,5.08,119.0,11.56,14.703441722260397,3.18,dry,3.23,465.0,sparkling
27,0.75,2.8,4.31,3.64,21.0,0.21,2.91,3.03,82.0,11.87,10.859933990044729,2.86,sweet,2.39,380.0,sparkling
28,0.86,2.76,2.16,3.28,21.0,0.37,1.35,2.65,85.0,12.07,10.48554501415927,2.6,sweet,2.17,378.0,sparkling
29,0.74,5.4,2.99,1.42,20.0,0.24,0.83,1.22,104.0,12.88,13.906361951290664,1.3,dry,2.4,530.0,white
30,0.78,5.0,3.55,1.29,21.5,0.17,0.84,1.2,106.0,12.7,11.502776944208357,1.7,dry,2.36,600.0,white
31,0.82,5.0,5.51,1.69,25.0,0.63,1.1,0.6,96.0,12.53,11.665571458170529,1.79,dry,2.64,515.0,white
32,0.89,4.92,2.96,2.15,24.0,0.53,0.81,0.6,101.0,12.84,11.104384402481392,2.32,sweet,2.61,590.0,white
33,0.89,4.35,3.17,2.06,23.5,0.5,0.55,0.52,97.0,13.52,10.691719361883179,1.55,dry,2.72,520.0,white
34,0.91,4.4,4.95,2.05,20.0,0.47,1.02,0.8,92.0,13.62,14.102612637623729,2.0,sweet,2.35,550.0,white
35,0.58,4.9,5.04,1.33,20.0,0.4,0.68,0.34,80.0,13.88,14.241834165057995,0.98,sweet,2.23,415.0,white
36,0.6,7.9,5.19,1.48,22.0,0.61,1.55,0.63,93.0,13.17,11.549854186848416,1.74,sweet,2.32,725.0,white
37,0.57,9.01,4.12,1.64,19.5,0.48,1.56,0.83,89.0,13.84,11.580371563899044,1.8,sweet,2.38,480.0,white
38,0.67,7.5,3.03,1.73,27.0,0.63,1.14,0.58,97.0,12.45,13.125279279894393,1.9,sweet,2.64,880.0,white
39,0.72,10.26,3.37,1.75,19.5,0.4,0.97,0.66,88.0,12.82,12.18680239791698,1.48,dry,2.3,685.0,white
40,0.57,9.899999,2.39,1.63,19.5,0.48,0.64,0.51,86.0,12.77,12.024941795593229,1.39,sweet,2.28,470.0,white
41,1.05,6.75,1.76,2.85,15.2,0.34,1.97,3.39,112.0,14.2,12.106814404278854,3.27,sweet,2.45,1450.0,red
42,1.17,5.0,1.48,2.82,16.8,0.26,1.57,2.43,95.0,14.12,10.417571746640835,2.2,dry,2.32,1280.0,red
43,1.23,8.7,1.59,2.82,16.5,0.32,1.86,3.93,108.0,14.19,12.530747005814618,3.3,dry,2.48,1680.0,red
