,alcohol,label
0,14.23,red
1,14.37,red
2,14.39,red
3,14.1,red
4,14.75,red
5,12.93,red
6,13.3,red
7,13.28,red
8,13.07,red
9,13.24,red
10,13.94,red
11,13.82,red
12,13.67,sparkling
13,12.37,sparkling
14,12.37,sparkling
15,13.03,sparkling
16,12.7,sparkling
17,12.0,sparkling
18,12.08,sparkling
19,12.08,sparkling
20,11.82,sparkling
21,12.25,sparkling
22,11.61,sparkling
23,11.46,sparkling
24,11.03,sparkling
25,12.42,sparkling
26,13.05,sparkling
27,12.37,sparkling
28,12.04,sparkling
29,12.81,white
30,13.36,white
31,13.16,white
32,13.08,white
33,13.5,white
34,12.96,white
35,13.45,white
36,13.58,white
37,13.4,white
38,12.2,white
39,13.71,white
40,13.4,white
41,13.24,red
42,14.38,red
43,14.3,red
44,13.58,red
45,13.88,red
46,13.05,red
47,13.83,red
48,12.37,sparkling
49,12.21,sparkling
50,12.99,sparkling
51,11.84,sparkling
52,12.42,sparkling
53,12.22,sparkling
54,13.49,white
55,13.32,white
56,12.85,white
57,13.73,white
