,red,sparkling,white
90,0,0,1
95,0,0,1
28,1,0,0
124,0,0,1
135,0,1,0
66,0,0,1
123,0,0,1
17,1,0,0
164,0,1,0
89,0,0,1
170,0,1,0
13,1,0,0
106,0,0,1
45,1,0,0
93,0,0,1
36,1,0,0
171,0,1,0
166,0,1,0
168,0,1,0
175,0,1,0
118,0,0,1
75,0,0,1
21,1,0,0
173,0,1,0
2,1,0,0
70,0,0,1
163,0,1,0
6,1,0,0
85,0,0,1
0,1,0,0
136,0,1,0
77,0,0,1
65,0,0,1
55,1,0,0
99,0,0,1
88,0,0,1
102,0,0,1
46,1,0,0
62,0,0,1
74,0,0,1
92,0,0,1
176,0,1,0
116,0,0,1
119,0,0,1
125,0,0,1
110,0,0,1
10,1,0,0
34,1,0,0
32,1,0,0
145,0,1,0
38,1,0,0
83,0,0,1
154,0,1,0
177,0,1,0
27,1,0,0
100,0,0,1
23,1,0,0
103,0,0,1
67,0,0,1
9,1,0,0
150,0,1,0
104,0,0,1
122,0,0,1
132,0,1,0
153,0,1,0
87,0,0,1
98,0,0,1
111,0,0,1
167,0,1,0
158,0,1,0
64,0,0,1
15,1,0,0
82,0,0,1
41,1,0,0
143,0,1,0
109,0,0,1
80,0,0,1
52,1,0,0
26,1,0,0
76,0,0,1
43,1,0,0
24,1,0,0
3,1,0,0
149,0,1,0
49,1,0,0
131,0,1,0
169,0,1,0
30,1,0,0
121,0,0,1
115,0,0,1
155,0,1,0
8,1,0,0
60,0,0,1
128,0,0,1
1,1,0,0
57,1,0,0
22,1,0,0
61,0,0,1
63,0,0,1
7,1,0,0
174,0,1,0
141,0,1,0
86,0,0,1
96,0,0,1
68,0,0,1
50,1,0,0
142,0,1,0
157,0,1,0
156,0,1,0
139,0,1,0
146,0,1,0
101,0,0,1
20,1,0,0
25,1,0,0
134,0,1,0
71,0,0,1
129,0,0,1
144,0,1,0
79,0,0,1
133,0,1,0
137,0,1,0
72,0,0,1
140,0,1,0
37,1,0,0
