,od280/od315_of_diluted_wines,nonflavanoid_phenols,alcalinity_of_ash,total_phenols,ash,hue,fruitness,malic_acid,magnesium,origin,proanthocyanins,proline,color_intensity,alcohol,flavanoids,label
0,3.92,0.28,15.6,2.8,2.43,1.04,26.090094935411184,1.71,127.0,French,2.29,1065.0,5.64,14.23,3.06,red
1,3.45,0.24,16.8,3.85,2.5,0.86,21.939141854544104,1.95,113.0,French,2.18,1480.0,7.8,14.37,3.49,red
2,3.58,0.3,14.6,2.5,2.45,1.02,28.35405323265021,1.87,96.0,German,1.98,1290.0,5.25,14.39,2.52,red
3,3.17,0.22,18.0,2.95,2.3,1.25,18.33307609937237,2.16,105.0,German,2.38,1510.0,5.75,14.1,3.32,red
4,2.73,0.43,11.4,3.1,2.39,1.25,15.275971256933822,1.73,91.0,French,2.81,1150.0,5.4,14.75,3.69,red
5,3.52,0.25,18.6,2.41,2.65,1.03,21.552932830034138,3.8,102.0,French,1.98,770.0,4.5,12.93,2.41,red
6,2.77,0.27,17.0,2.4,2.14,1.02,19.638791531293244,1.72,94.0,French,1.35,1285.0,3.95,13.3,2.19,red
7,2.78,0.34,15.5,2.6,2.84,1.09,8.938038800121877,1.64,110.0,French,1.36,880.0,4.6,13.28,2.68,red
8,2.69,0.28,15.5,2.4,2.1,1.18,19.56976735109391,1.5,98.0,Italian,1.37,1020.0,3.7,13.07,2.64,red
9,3.0,0.32,17.5,2.64,2.29,0.82,6.971886870271655,3.98,103.0,French,1.66,680.0,4.36,13.24,2.63,red
10,3.1,0.32,17.4,2.88,2.27,1.12,9.205554378578192,1.73,108.0,German,2.08,1260.0,8.9,13.94,3.54,red
11,3.26,0.32,14.0,3.88,2.42,1.01,29.596513126533353,1.75,111.0,French,1.87,1190.0,7.05,13.82,3.74,red
12,2.46,0.32,18.0,2.1,1.92,1.23,11.888666800980019,1.25,94.0,Italian,0.73,630.0,3.8,13.67,1.79,sparkling
13,2.87,0.19,19.0,3.5,2.16,1.22,14.670634234961506,1.13,87.0,French,1.87,420.0,4.45,12.37,3.1,sparkling
14,2.3,0.37,18.1,2.42,2.56,1.19,8.826055965295993,1.21,98.0,Spanish,2.08,678.0,4.6,12.37,2.65,sparkling
15,2.48,0.24,16.0,1.95,1.71,1.19,8.081664584546006,0.9,86.0,Italian,1.46,392.0,4.6,13.03,2.03,sparkling
16,3.13,0.43,23.0,2.83,2.4,1.19,29.289155375343544,3.87,101.0,Spanish,1.95,463.0,2.57,12.7,2.55,sparkling
17,3.12,0.3,19.0,2.42,2.0,1.38,29.616523953876353,0.92,86.0,French,1.43,278.0,2.5,12.0,2.26,sparkling
18,2.72,0.4,24.0,2.0,2.51,1.31,28.408280497605034,1.13,78.0,German,1.4,630.0,2.2,12.08,1.58,sparkling
19,3.21,0.42,23.6,2.2,2.3,1.07,15.352744871242331,1.33,70.0,Italian,1.38,625.0,1.74,12.08,1.59,sparkling
20,2.44,0.37,19.5,2.5,1.88,0.94,27.94296253785371,1.72,86.0,German,1.42,415.0,2.06,11.82,1.64,sparkling
21,3.17,0.37,19.0,1.65,2.12,1.0,18.302387402417267,1.73,80.0,French,1.63,510.0,3.4,12.25,2.03,sparkling
22,3.26,0.29,20.0,2.74,2.7,0.96,19.025944299620846,1.35,94.0,French,2.49,680.0,2.65,11.61,2.92,sparkling
23,2.81,0.24,19.5,3.18,1.82,0.75,25.795539972646505,3.74,107.0,Spanish,3.58,562.0,2.9,11.46,2.58,sparkling
24,2.87,0.52,21.5,2.46,2.2,1.71,11.063156887224672,1.51,85.0,Spanish,2.01,407.0,1.9,11.03,2.17,sparkling
25,3.12,0.43,26.5,2.2,2.73,0.92,15.07969509190924,4.43,102.0,Spanish,1.71,365.0,2.08,12.42,2.13,sparkling
26,3.1,0.3,21.5,2.62,2.13,0.73,16.915612748807824,5.8,86.0,Spanish,2.01,380.0,2.6,13.05,2.65,sparkling
27,2.78,0.4,24.5,2.22,2.3,0.89,25.691795425300292,1.63,88.0,Spanish,1.9,342.0,2.12,12.37,2.45,sparkling
28,2.57,0.42,22.0,2.1,2.38,0.79,18.91664336831512,4.3,80.0,Spanish,1.35,580.0,2.6,12.04,1.75,sparkling
29,1.36,0.27,24.0,1.15,2.4,0.66,20.039531936842252,2.31,98.0,French,0.83,560.0,5.7,12.81,1.09,white
30,2.47,0.37,20.0,1.4,2.35,0.7,22.127662169281535,2.56,89.0,French,0.64,780.0,5.6,13.36,0.5,white
31,1.68,0.43,21.0,1.5,2.15,0.6,24.43495275904073,3.57,102.0,German,1.3,830.0,4.0,13.16,0.55,white
32,1.33,0.34,21.5,1.41,2.36,0.57,7.700242884464804,3.9,113.0,German,1.14,550.0,9.4,13.08,1.39,white
33,1.3,0.22,24.0,1.4,2.62,0.59,24.694244325207578,3.12,123.0,Spanish,1.25,500.0,8.6,13.5,1.57,white
